City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Madimba,TZ,-10.4,40.3333,76.19,83,100,9.08,light rain
309,Korem,ET,12.5058,39.5228,50.2,80,15,1.66,few clouds
310,Upernavik,GL,72.7868,-56.1549,-1.34,97,100,3.24,overcast clouds
311,Lavrentiya,RU,65.5833,-171.0,-14.53,95,18,10.25,few clouds
312,Krasnodon,UA,48.2923,39.7373,21.42,92,100,5.61,overcast clouds
313,Shache,CN,38.4167,77.2406,25.72,65,100,2.98,overcast clouds
314,Emerald,AU,-23.5333,148.1667,82.35,37,0,15.43,clear sky
315,Sao Filipe,CV,14.8961,-24.4956,73.17,72,0,8.7,clear sky
316,Magburaka,SL,8.7167,-11.95,69.84,80,37,1.14,scattered clouds
317,Chokurdakh,RU,70.6333,147.9167,-31.9,100,100,2.08,overcast clouds
318,San Vicente,AR,-26.6167,-54.1333,65.26,96,37,1.41,scattered clouds
319,Grindavik,IS,63.8424,-22.4338,28.87,80,75,17.27,snow
320,Ganzhou,CN,28.8184,115.4327,41.85,70,100,5.68,overcast clouds
321,Kaeo,NZ,-35.1,173.7833,79.32,86,100,6.44,overcast clouds
322,Feicheng,CN,35.2606,117.9675,32.83,24,100,1.43,overcast clouds
323,Conde,BR,-7.2597,-34.9075,78.26,78,0,4.61,clear sky
324,Olga,RU,43.7444,135.2892,11.3,49,98,15.57,overcast clouds
325,Brunico,IT,46.7958,11.9364,33.66,71,6,1.72,clear sky
326,Caravelas,BR,-17.7125,-39.2481,76.68,86,31,6.15,scattered clouds
327,Kirakira,SB,-10.4544,161.9205,85.24,74,100,8.37,overcast clouds
328,Nome,US,64.5011,-165.4064,-0.33,65,0,5.75,clear sky
329,Altay,CN,47.8667,88.1167,7.2,48,0,9.93,clear sky
330,Sinnamary,GF,5.3833,-52.95,76.59,89,100,9.48,overcast clouds
331,Shingu,JP,33.7333,135.9833,39.9,51,39,13.91,scattered clouds
332,Faanui,PF,-16.4833,-151.75,81.1,73,14,19.77,light rain
333,Chimbote,PE,-9.0853,-78.5783,70.47,83,13,7.61,few clouds
334,Palmer,US,42.1584,-72.3287,18.48,66,0,1.99,clear sky
335,Tiksi,RU,71.6872,128.8694,-22.45,98,99,6.35,overcast clouds
336,Jinchang,CN,38.4953,102.1739,14.49,92,100,7.07,light snow
337,Codrington,AU,-38.2667,141.9667,77.0,39,75,8.81,broken clouds
338,Chumikan,RU,54.7183,135.315,0.73,75,100,13.0,overcast clouds
339,Visnes,NO,59.3556,5.2242,40.57,87,100,20.71,overcast clouds
340,Griffith,US,41.5284,-87.4237,15.04,73,0,5.99,clear sky
341,Itupiranga,BR,-5.1347,-49.3267,73.8,96,96,1.68,overcast clouds
342,Oppdal,NO,62.5943,9.6912,16.63,84,42,13.04,scattered clouds
343,Birin,NP,26.8865,88.0718,35.91,82,0,4.34,clear sky
344,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.24,74,100,7.54,overcast clouds
345,Coihaique,CL,-45.5752,-72.0662,59.61,67,0,3.44,clear sky
